No.,Test Group,Test Case Description,Preconditions,Steps,Expected Result,Priority
CART-001,Page Load,Verify cart page loads successfully,Cart URL is accessible,1. Open cart page,"Cart page loads without error, blank page, or broken layout",High
CART-002,Page Load,Verify empty cart state,Cart is empty,1. Open cart page,Empty cart message and continue shopping CTA are displayed correctly,High
CART-003,Page Load,Verify cart with product loads successfully,Cart has at least one product,1. Open cart page,Cart displays product details correctly,High
CART-004,Region,Verify region-specific content is displayed correctly,Site is configured for AU/NZ,1. Open cart page,"Currency, delivery message, and payment messaging are correct for selected region",High
CART-005,Security,Verify cart page loads over HTTPS,Cart URL is accessible,1. Open cart page,Page loads securely without browser warning,Medium
CART-006,Header,Verify cart count matches cart quantity,Cart has product(s),1. Observe header cart count 2. Compare with cart quantity,Header cart count matches cart item quantity,High
CART-007,Product Details,Verify product image is displayed,Cart has product(s),1. Open cart,Product image is visible and not broken,High
CART-008,Product Details,Verify product name is displayed,Cart has product(s),1. Open cart,Product name is visible and correct,High
CART-009,Product Details,Verify product attributes are displayed,Configurable product in cart,1. Open cart,"Selected size, colour, or variant details are displayed correctly",High
CART-010,Product Details,Verify product price is displayed,Cart has product(s),1. Open cart,Product price is visible and formatted correctly,High
CART-011,Product Details,Verify sale price is displayed correctly,Cart contains sale product,1. Open cart,Sale price/original price are displayed correctly where applicable,High
CART-012,Product Details,Verify product link redirects to PDP,Cart has product(s),1. Click product name/image,Correct PDP opens,Medium
CART-013,Quantity,Verify quantity selector/input is displayed,Cart has product(s),1. Open cart,Quantity control is visible,High
CART-014,Quantity,Verify increasing quantity updates cart,Cart has product with available stock,1. Increase quantity,Item quantity and cart totals update correctly,Critical
CART-015,Quantity,Verify decreasing quantity updates cart,Cart has product quantity > 1,1. Decrease quantity,Item quantity and cart totals update correctly,Critical
CART-016,Quantity,Verify quantity cannot be set below minimum,Cart has product,1. Attempt to set quantity to 0 or negative value,Quantity is rejected or product removal flow is triggered as designed,High
CART-017,Quantity,Verify quantity cannot exceed available stock,Cart has limited-stock product,1. Set quantity above available stock,Validation message is displayed and quantity is not incorrectly updated,High
CART-018,Quantity,Verify manual quantity input works if supported,Quantity input is editable,1. Enter valid quantity 2. Apply/update,Cart quantity and totals update correctly,Medium
CART-019,Quantity,Verify invalid quantity input is handled,Quantity input is editable,1. Enter invalid value such as text/symbol,Validation message is shown and cart remains stable,Medium
CART-020,Remove Item,Verify product can be removed from cart,Cart has product(s),1. Click Remove,Product is removed and totals update correctly,Critical
CART-021,Remove Item,Verify cart shows empty state after removing last item,Cart has only one product,1. Remove product,Empty cart state is displayed correctly,High
CART-022,Remove Item,Verify removing one item does not remove other items,Cart has multiple products,1. Remove one product,Only selected product is removed,High
CART-023,Cart Totals,Verify subtotal is displayed,Cart has product(s),1. Open cart,Subtotal is visible and calculated correctly,Critical
