ID,Component,Brand Scope,Region Scope,Priority,Automatable,Description,Preconditions,Steps,Expected Result,Test Data,Linked Spec File,Notes
HP-001,Page Load,all,all,Critical,Y,Homepage loads successfully and is interactive,Guest user; staging URL is reachable,1. Open homepage URL 2. Wait for DOM ready 3. Dismiss any interruption (cookie/geo/modal),"Page loads over HTTPS without crash, application error UI, or empty body. Brand logo and main navigation are visible after interruptions dismissed.",—,tests/smoke/homepage.spec.ts,"Consolidates v1 HP-001/003/004/005/046/047 (all variations of ""page loads ok""). One critical assertion is enough."
HP-002,Header,all,all,Critical,Y,Header essential entry points are present,Homepage loaded,1. Observe header,"Logo, primary navigation, search entry point, account entry point, and cart entry point are all visible and enabled.",—,tests/smoke/homepage.spec.ts,Single TC verifying all header surface — replaces 5 separate v1 entries
HP-003,Search,all,all,Critical,Y,Search with valid keyword navigates to results page,Homepage loaded; brand has a known good search keyword,1. Open search input 2. Enter keyword from searchData[brand] 3. Submit,URL changes to a search-results pattern (matches /search|q=|query=|\/s\//) and the results page contains the searched keyword.,searchData[brand].keyword,tests/smoke/homepage.spec.ts,Smoke path — depends on testData being valid per brand
HP-004,Header,all,all,Critical,Y,Clicking logo from any page returns to homepage,Homepage loaded then navigate to any subpage,1. Click logo from a non-homepage page,URL pathname becomes '/' and homepage layout is restored.,—,tests/smoke/homepage.spec.ts,—
HP-005,Footer,all,all,Critical,Y,Footer is rendered with legal text,Homepage loaded,1. Scroll to bottom,"Footer container is visible. Footer text contains at least one of: ""copyright"", ""all rights reserved"", ""terms"", ""privacy"", or copyright symbol.",—,tests/smoke/homepage.spec.ts,—
HP-006,Navigation,all,all,High,Y,Top-level navigation items load PLPs without error,Homepage loaded,1. Capture all top-nav item hrefs 2. Click each (or first 3 for speed),"Each navigated URL pathname matches the captured href. Destination page renders without application error UI.",—,tests/smoke/homepage.spec.ts,Limit to first 3 items to avoid runtime blow-up
HP-007,Navigation,all,all,High,Y,Submenu opens on hover for desktop nav items with subnav,Desktop viewport; nav item with submenu exists,1. Hover each visible nav item 2. Wait for submenu to appear,At least one nav item exposes a visible submenu (`[role=menu]` or known submenu container).,—,tests/smoke/homepage.spec.ts,Brand without any submenu should skip with reason — not fail
HP-008,Promo,all,all,High,Y,Hero banner is rendered with image and clickable CTA,Homepage loaded,1. Observe hero section 2. Locate hero CTA,Hero banner element is visible. Hero CTA has a non-empty href.,—,tests/smoke/homepage.spec.ts,Don't assert image dimensions — let visual regression handle that
HP-009,Promo,all,all,High,Partial,Hero CTA navigates to the URL declared in its href,Hero CTA exists with valid href,1. Click hero CTA,URL pathname after navigation matches href pathname.,—,tests/smoke/homepage.spec.ts,"Partial because hero content is CMS-driven — href may legitimately be a 3rd-party tracker URL that redirects; skip with reason if href hostname differs"
HP-010,Promo,all,all,High,Y,Promotional carousel can be navigated manually via next/prev controls,Brand has promo carousel feature,1. Capture carousel signature (visible slide text + image src) 2. Click next 3. Wait 1s 4. Capture signature again 5. Click prev 6. Wait 1s 7. Capture signature,"Signature changes after next click; signature changes again (and differs from after-next) after prev click.",—,tests/smoke/homepage.spec.ts,"Auto-rotation TC (v1 HP-020) removed — flaky and brand-dependent timing. Manual navigation is the deterministic part."
HP-011,Promo,all,all,High,Y,Promotional tile CTAs navigate correctly,Brand has promo tiles feature,1. Capture first 2 promo tile hrefs 2. Click each (with re-navigate between),Each click navigates to URL pathname matching the captured href.,—,tests/smoke/homepage.spec.ts,—
HP-012,Product,all,all,High,Y,Featured product module renders product cards with required elements,Brand has featured products feature,1. Scroll to featured products 2. Inspect first card,"Card has visible image, non-empty product name, and at least one price element.",—,tests/smoke/homepage.spec.ts,—
HP-013,Product,all,all,High,Y,Clicking featured product card navigates to PDP,Featured products visible,1. Click first product card,URL pathname matches the card's href. Destination renders without application error.,—,tests/smoke/homepage.spec.ts,—
HP-014,Product,all,all,High,Y,Featured product price uses correct currency format for region,Featured products visible,1. Read price text from first 3 cards,"All prices match pattern `^\$\s?\d{1,3}(,\d{3})*(\.\d{1,2})?$`. No mixed currency symbols (e.g. no `£`, `€`).",—,tests/smoke/homepage.spec.ts,Region-specific currency value validated in HP-AU-001/HP-NZ-001
HP-015,Footer,all,all,High,Y,Footer internal links navigate without error,Homepage loaded,1. Pick first 2 visible internal footer links (same hostname) 2. Click each,Each navigates to its declared pathname without 404/500/error UI.,—,tests/smoke/homepage.spec.ts,Exclude social and tel:/mailto: links
HP-016,Search,all,all,Medium,Y,Search with invalid keyword shows no-results state,Homepage loaded,1. Open search 2. Enter unique invalid keyword (e.g. `no-results-{timestamp}-zzzxxy`) 3. Submit,"Page navigates to search URL. Body contains the invalid keyword. Body matches no-results pattern (/no results|0 results|couldn't find|did not match/i).",—,tests/smoke/homepage.spec.ts,—
HP-017,Header,all,all,Medium,Y,Cart icon shows guest empty state,Guest user; no items added,1. Inspect cart icon,"Cart icon visible. Aria-label or text content includes one of: ""cart"", ""bag"", ""basket"", ""0"", or ""empty"".",—,tests/smoke/homepage.spec.ts,Bag/Cart wording difference validated more strictly in HP-drm-001
HP-018,Responsive,all,all,Medium,Y,Mobile hamburger menu opens and shows nav links,Mobile viewport 390×844,1. Open homepage 2. Tap hamburger menu button,Mobile menu surface becomes visible with at least one nav link inside.,—,tests/smoke/homepage.spec.ts,If hamburger not detectable for the brand → skip with reason
HP-019,Responsive,all,all,Medium,Y,Mobile navigation link navigates correctly,Mobile menu opened,1. Pick first visible mobile nav link with valid href 2. Click,URL pathname matches the link href.,—,tests/smoke/homepage.spec.ts,—
HP-020,Responsive,all,all,Medium,Y,Tablet viewport renders main and header without horizontal overflow,Tablet viewport 820×1180,1. Open homepage,"Main element visible. Header logo visible. documentElement.scrollWidth - clientWidth <= 1 (no horizontal overflow).",—,tests/smoke/homepage.spec.ts,—
HP-021,Responsive,all,all,Medium,Y,Mobile viewport renders without horizontal overflow,Mobile viewport 390×844,1. Open homepage,Same as HP-020 but at mobile width.,—,tests/smoke/homepage.spec.ts,—
HP-022,Header,all,all,Medium,Y,Sticky header remains in viewport after scroll,Brand has sticky header,1. Read header position 2. Scroll down 1.5× viewport 3. Read header position again,"Header has computed position sticky or fixed. After-scroll header top differs from initial by less than 6px.",—,tests/smoke/homepage.spec.ts,Skip with reason if brand opts out of sticky header
HP-023,Product,all,all,Medium,Partial,Featured products include at least one sale product with both prices shown,Featured products visible; sale items exist on staging,1. Inspect first 8 cards 2. Find card with ≥2 distinct price strings,"At least one card has min(prices) < max(prices). If none found → skip with @data-dependent reason.",—,tests/smoke/homepage.spec.ts,"@data-dependent — sale items may not exist on every run. Partial because we cannot guarantee a sale card exists on every visit."
HP-024,Footer,all,all,Low,Y,Social footer links point to expected external host,Footer has social icons,1. Pick first 2 social-domain links 2. Click each (handle popup),"Resulting page hostname contains one of: facebook|instagram|tiktok|youtube|pinterest|x.com|twitter|linkedin.",—,tests/smoke/homepage.spec.ts,Open in new tab — handle popup event; close popup after assertion
HP-025,Analytics,all,all,Low,Partial,Category click fires a GTM dataLayer event,GTM dataLayer present,1. Wrap dataLayer.push to capture events 2. Click first category link 3. Read captured delta,"At least one event captured. Event payload (serialized) matches /category|navigation|menu|select|click/i.",—,tests/smoke/homepage.spec.ts,"Partial — we verify event fires, not exact payload schema. Replaces v1 HP-049/050/051/052 which all attempted analytics validation."
HP-drm-001,Header,drm,all,High,Y,Dr. Martens uses ""Bag"" terminology in cart icon (not ""Cart"" or ""Basket""),Homepage loaded on a DM project,1. Inspect cart icon aria-label and inner text,"Combined aria-label + inner text contains case-insensitive ""bag"". Must NOT contain standalone ""cart"" or ""basket"" word.",—,tests/smoke/homepage.spec.ts,"Brand differentiator — DM is the only brand using ""Add to Bag""/""Bag"" terminology"
HP-drm-002,Cookie,drm,all,High,Y,Dr. Martens shows OneTrust cookie banner on first visit and it can be dismissed,Fresh browser context (no cookies); DM project,1. Open homepage with clean context 2. Wait for `#onetrust-banner-sdk` to appear 3. Click accept-all button,"OneTrust banner appears within 5s. After click, banner element is hidden or removed. Page is interactive.",—,tests/smoke/homepage.spec.ts,Applies to DM/Platypus/Skechers — could be promoted to shared TC if other brands need it
HP-van-001,Cookie,van,all,High,Y,Vans cookie banner is NOT OneTrust (CMS-injected),Fresh browser context; Vans project,1. Open homepage 2. Wait for cookie banner candidate to appear,"`#onetrust-banner-sdk` element does NOT exist. Some other cookie-consent element (with text matching /cookie|consent|accept/i) is present.",—,tests/smoke/homepage.spec.ts,Documents intentional difference — Vans injects via CMS design_head_includes
HP-van-002,Account,van,all,High,Y,Clicking account icon opens a modal popup (does not navigate to /account),Homepage loaded on Vans project,1. Click account/login icon in header,"URL pathname remains '/' (no navigation). A dialog element ([role=""dialog""] or [aria-modal=""true""]) becomes visible within 3s.",—,tests/smoke/homepage.spec.ts,Vans-specific UX pattern — all other brands page-navigate
HP-van-003,Wishlist,van,all,High,Y,Guest can add a product to wishlist; entry persists in localStorage,Guest user; Vans project; PLP accessible from homepage,1. Open homepage 2. Click a category to PLP 3. Click wishlist icon on first product card 4. Read localStorage,"At least one localStorage key contains a wishlist payload referencing the product (key matches /wishlist|favorite|saved/i and value contains product identifier).",—,tests/smoke/homepage.spec.ts,Vans is the only brand supporting guest wishlist
HP-skx-001,SPA,skx,all,High,Y,Featured products render only after SPA hydration (waitForFunction polling required),Skechers project; homepage URL,"1. Open homepage with `waitUntil: ""domcontentloaded""` 2. Immediately count product cards 3. Use waitForFunction to poll until product cards > 0 4. Re-count","Product card count at domcontentloaded should be 0 (or smaller than after polling). After polling completes, product cards > 0.",—,tests/smoke/homepage.spec.ts,"Validates the SPA-hydration assumption documented in CLAUDE.md. If domcontentloaded already has cards, the assumption is wrong and selectors should be reviewed."
