No.,Test Group,Test Case Description,Preconditions,Steps,Expected Result,Priority
PLP-001,Page Load,Verify PLP loads successfully,PLP/category URL is accessible,1. Open a valid PLP URL,"PLP loads without error, blank page, or broken layout",High
PLP-002,Page Load,Verify correct category is displayed,PLP URL is accessible,1. Open PLP,Category title/content matches selected category,High
PLP-003,Page Load,Verify region-specific content is displayed correctly,Site environment is configured for AU/NZ,1. Open PLP,"Currency, delivery/promo messaging, and regional content are correct",High
PLP-004,Page Load,Verify PLP loads over HTTPS,PLP URL is accessible,1. Open PLP,Page loads securely without browser warning,Medium
PLP-005,Page Load,Verify no visible application error is shown,PLP URL is accessible,1. Open PLP,No visible application error or major JS crash UI is shown,High
PLP-006,Breadcrumb,Verify breadcrumb is displayed,PLP loaded,1. Observe breadcrumb,Breadcrumb is visible and structured correctly,Medium
PLP-007,Breadcrumb,Verify breadcrumb links redirect correctly,Breadcrumb exists,1. Click breadcrumb links,User is redirected to correct parent category/homepage,Medium
PLP-008,Category Header,Verify category title is displayed,PLP loaded,1. Observe category header,Category title is visible and correct,High
PLP-009,Category Header,Verify category description/banner is displayed if configured,Category has description/banner,1. Observe category header area,Description/banner displays correctly,Medium
PLP-010,Product Grid,Verify product grid is displayed,PLP has products,1. Open PLP,Product grid is visible,High
PLP-011,Product Grid,Verify product cards are displayed correctly,PLP has products,1. Inspect product cards,"Product image, name, price, and basic info are displayed",High
PLP-012,Product Grid,Verify product card image is rendered correctly,PLP has products,1. Inspect product image,"Image is not broken, distorted, or incorrectly cropped",High
PLP-013,Product Grid,Verify product name is displayed,PLP has products,1. Inspect product card,Product name is visible and readable,High
PLP-014,Product Grid,Verify product price is displayed,PLP has products,1. Inspect product card,Price is visible and formatted correctly,High
PLP-015,Product Grid,Verify sale price presentation is correct,PLP contains sale products,1. Inspect sale product card,Sale price and original price are displayed correctly,High
PLP-016,Product Grid,Verify product badge/label is displayed correctly,Product has badge/label,1. Inspect product card,Badge/label is visible and correct,Medium
PLP-017,Product Grid,Verify clicking product card redirects to PDP,PLP has products,1. Click product card,Correct PDP opens,Critical
PLP-018,Product Grid,Verify product card hover behavior on desktop if applicable,Desktop viewport,1. Hover product card,Hover state/secondary image/quick actions display correctly,Low
PLP-019,Product Grid,Verify product count is displayed correctly if available,Product count feature enabled,1. Observe PLP count,Product count is visible and consistent with listed products,Medium
PLP-020,Product Grid,Verify empty PLP state,Category/search result has no products,1. Open empty PLP/search result,Empty state is displayed correctly without layout break,Medium
PLP-021,Pagination / Load More,Verify pagination or load-more control is displayed when product list exceeds page limit,PLP has more products than first page limit,1. Open PLP,Pagination/load-more control is visible,Medium
PLP-022,Pagination / Load More,Verify load more displays additional products,Load More enabled,1. Click Load More,Additional products are loaded without duplicates or layout issue,High
PLP-023,Pagination / Load More,Verify pagination redirects or updates product list correctly,Pagination enabled,1. Click next page,Next set of products is displayed correctly,High
PLP-024,Pagination / Load More,Verify browser back behavior after pagination/load more,Pagination/load-more used,1. Load more products or go next page 2. Open PDP 3. Click browser Back,User returns to expected PLP state,High
PLP-025,Sorting,Verify sort dropdown is displayed,Sorting enabled,1. Observe sort control,Sort dropdown/control is visible,High
PLP-026,Sorting,Verify sorting by price low to high,Sorting enabled,1. Select Price Low to High,Products are sorted from lowest to highest price,High
PLP-027,Sorting,Verify sorting by price high to low,Sorting enabled,1. Select Price High to Low,Products are sorted from highest to lowest price,High
PLP-028,Sorting,Verify sorting by newest/relevance/default if applicable,Sorting option exists,1. Select sort option,Product order updates according to selected option,Medium
PLP-029,Sorting,Verify selected sort option persists after page refresh,Sorting enabled,1. Select sort option 2. Refresh page,Selected sort option and product order behave as designed,Medium
PLP-030,Filtering,Verify filter panel is displayed,Filtering enabled,1. Open PLP,Filter panel or filter button is visible,High
PLP-031,Filtering,Verify filter panel opens and closes correctly,Filtering enabled,1. Open filter panel 2. Close filter panel,Filter panel opens/closes correctly,High
PLP-032,Filtering,Verify applying single filter updates product list,Filter options available,1. Select one filter option,Product list updates according to selected filter,Critical
PLP-033,Filtering,Verify applying multiple filters updates product list,Multiple filter options available,1. Select multiple filters,Product list updates according to combined filters,Critical
