ID,Component,Brand Scope,Region Scope,Priority,Automatable,Description,Preconditions,Steps,Expected Result,Test Data,Linked Spec File,Notes
MA-001,Login,all,all,Critical,Y,Login with valid credentials succeeds and header reflects logged-in state,Valid test account credentials available,"1. Open sign-in page (or modal for Vans) 2. Enter valid email + password 3. Submit",User is logged in; redirected to account dashboard or homepage; header shows logged-in state.,TEST_ACCOUNT_EMAIL + TEST_ACCOUNT_PASSWORD env vars,tests/smoke/account.spec.ts,Vans: login is modal popup — see MA-van-001
MA-002,Logout,all,all,Critical,Y,Logout redirects and header reflects logged-out state,User is logged in,"1. Open My Account 2. Click logout",User is logged out; redirected to homepage or login; header shows guest state.,—,tests/smoke/account.spec.ts,—
MA-003,Security,all,all,Critical,Y,Protected account page redirects guest user to login,User is NOT logged in,"1. Attempt to directly navigate to /account or /account/orders",User is redirected to login page or access is blocked; account content not exposed.,—,tests/smoke/account.spec.ts,—
MA-004,Change Password,all,all,Critical,Y,Password can be changed with the correct current password,User is logged in,"1. Open Change Password section 2. Enter current password 3. Enter new valid password 4. Confirm 5. Save",Password updated successfully; success message shown.,TEST_ACCOUNT credentials,tests/smoke/account.spec.ts,Use a dedicated test account with known credentials to avoid locking real users
MA-005,Login,all,all,High,Y,Login with invalid password shows error and does not log user in,Valid account email known,"1. Enter valid email + wrong password 2. Submit",Error message displayed; user remains on login page/modal.,—,tests/smoke/account.spec.ts,—
MA-006,Login,all,all,High,Y,Login required field validation shown when submitting empty form,Login page/modal open,"1. Submit login form with empty email + password",Required field validation messages visible; user not logged in.,—,tests/smoke/account.spec.ts,—
MA-007,Dashboard,all,all,High,Y,Account dashboard loads with customer name or email visible,User is logged in,"1. Log in 2. Open My Account dashboard",Dashboard loads; customer name or email visible; no broken layout.,—,tests/smoke/account.spec.ts,—
MA-008,Navigation,all,all,High,Y,Account navigation links (Orders / Address Book / Account Details) are visible and navigable,User is logged in; account dashboard open,"1. Open My Account 2. Inspect navigation 3. Click each nav link",All account nav links visible; each link opens the correct account section.,—,tests/smoke/account.spec.ts,—
MA-009,Forgot Password,all,all,High,Y,Forgot password link opens the password reset form,Login page or modal accessible,"1. Open login page/modal 2. Click Forgot Password",Forgot password form displayed with email input; confirmation message shown after submitting.,—,tests/smoke/account.spec.ts,Do NOT use real account email — just verify form renders and accepts submission
MA-010,Order History,all,all,High,Y,Order history page loads (list or empty state) without error,User is logged in,"1. Log in 2. Open Order History",Order history page loads; either order list OR empty-state message visible; no broken layout.,—,tests/smoke/account.spec.ts,—
MA-011,Address Book,all,all,High,Y,A new address can be saved in the address book,User is logged in,"1. Open Address Book 2. Click Add New Address 3. Fill valid AU/NZ address 4. Save",Address is saved; appears in address list.,Test address data (AU postcode or NZ postcode),tests/smoke/account.spec.ts,—
MA-012,Login,all,all,High,Y,User remains logged in after page refresh,User is logged in,"1. Log in 2. Refresh page",User still logged in; header still shows logged-in state.,—,tests/smoke/account.spec.ts,—
MA-013,Registration,all,all,High,Y,Registration page/form is accessible and required field validation works,User is NOT logged in,"1. Open registration page 2. Submit empty form",Required field validation messages shown; account NOT created.,—,tests/smoke/account.spec.ts,Full registration avoided in automation to prevent test account accumulation; field validation is the meaningful assertion
MA-014,Order History,all,all,Medium,Y,Order detail page opens correctly from order history list,User is logged in; account has previous orders,"1. Open Order History 2. Click on an order",Order details page opens; order number visible; product/line items shown.,—,tests/smoke/account.spec.ts,@data-dependent — requires account with prior order history
MA-015,Login,all,all,Medium,Y,Invalid email format on login form shows validation message,Login page/modal accessible,"1. Enter malformed email (e.g. 'not-an-email') + any password 2. Submit",Email format validation message displayed; user not logged in.,—,tests/smoke/account.spec.ts,—
MA-016,Responsive,all,all,Medium,Y,My Account page loads on mobile and navigation works,Mobile viewport 390×844; user logged in,"1. Log in on mobile 2. Open My Account 3. Tap a navigation link",Account page loads; mobile nav accessible; selected section opens.,—,tests/smoke/account.spec.ts,—
MA-van-001,Login Modal,van,all,High,Y,Vans login and signup open as a modal popup overlay — not a page navigation,Vans project; user NOT logged in,"1. Click account icon in Vans header","Login/signup modal overlay appears in the viewport; URL does NOT change to /account/login or a new login page.",—,tests/smoke/account.spec.ts,Unique to Vans — all other brands navigate to a dedicated login page
MA-van-002,Loyalty,van,all,High,Y,Vans Qantas QFF account page is accessible from My Account,Vans project; user is logged in,"1. Log in 2. Navigate to /qantas-frequent-flyer or find QFF link in account",Qantas QFF account page loads; QFF section content visible.,—,tests/smoke/account.spec.ts,Vans-exclusive loyalty integration per site-structure.md
