ID,Component,Brand Scope,Region Scope,Priority,Automatable,Description,Preconditions,Steps,Expected Result,Test Data,Linked Spec File,Notes
CO-001,Page Load,all,all,Critical,Y,Checkout page loads from cart (guest user),Cart has valid in-stock product,"1. Navigate to /cart 2. Click Checkout CTA",Checkout page loads; no broken layout; step 1 (email/contact) visible.,Product URL from testData,tests/smoke/checkout.spec.ts,—
CO-002,Guest Details,all,all,Critical,Y,Guest email field is visible and required field validation triggers on empty submit,Guest user at checkout; email step visible,"1. Open checkout 2. Leave email field empty 3. Click Continue",Required validation message appears on email field; user does not advance to next step.,—,tests/smoke/checkout.spec.ts,—
CO-003,Shipping,all,all,Critical,Y,Shipping address form is visible and required field validation works,Guest checkout; email entered; address step visible,"1. Enter valid email 2. Proceed to address step 3. Submit with empty required fields",Required field validation messages visible for all empty required address fields.,—,tests/smoke/checkout.spec.ts,—
CO-004,Delivery,all,all,Critical,Y,Valid shipping address entry displays available delivery methods,Guest checkout; address step open,"1. Fill valid AU or NZ shipping address 2. Continue",Available delivery methods (Standard / Express) appear; at least one option selectable.,Test address (AU: Melbourne VIC 3000; NZ: Auckland 1010),tests/smoke/checkout.spec.ts,—
CO-005,Delivery,all,all,Critical,Y,Selecting a delivery method updates the shipping cost in the order summary,Delivery methods visible,"1. Select Standard shipping 2. Observe order summary 3. Select Express 4. Observe order summary",Shipping cost in summary updates to reflect selected method; grand total updates accordingly.,—,tests/smoke/checkout.spec.ts,—
CO-006,Order Summary,all,all,Critical,Y,Order summary shows product name + quantity + price + subtotal correctly,Cart has a product; checkout open,"1. Open checkout 2. Expand or view order summary panel","Product name, qty, and line price visible and matching cart; subtotal visible and correct.",Product URL from testData,tests/smoke/checkout.spec.ts,—
CO-007,Order Summary,all,all,Critical,Y,Grand total equals subtotal + shipping cost (minus any discounts),Checkout has address + delivery method selected,"1. Note subtotal and shipping cost 2. Verify grand total",Grand total matches expected arithmetic.,—,tests/smoke/checkout.spec.ts,—
CO-008,Page Load,all,all,High,Y,Empty cart cannot proceed to checkout — redirected or blocked,Guest user; cart is empty,"1. Navigate to /checkout with empty cart",User is redirected to /cart or blocked; no empty checkout rendered.,—,tests/smoke/checkout.spec.ts,—
CO-009,Payment,all,all,High,Y,Afterpay (BNPL) payment option is visible in the payment section,Checkout at payment step; cart has eligible product,"1. Complete address + delivery steps 2. Reach payment section 3. Inspect payment methods",Afterpay payment option visible and enabled.,Test address from testData,tests/smoke/checkout.spec.ts,—
CO-010,Place Order,all,all,High,Y,Place Order button is visible and enabled when all required checkout fields are filled,All checkout steps complete; valid payment method selected,"1. Complete all checkout steps (email + address + delivery + payment) 2. Observe Place Order CTA",Place Order button visible and clickable (not disabled).,Test address + test card data,tests/smoke/checkout.spec.ts,—
CO-011,Responsive,all,all,High,Y,Place Order CTA is accessible on mobile viewport and checkout form is usable,Mobile viewport 390×844; cart has product,"1. Open checkout on mobile 2. Complete email + address + delivery steps 3. Scroll to Place Order CTA",All form steps usable on mobile; Place Order CTA visible and tappable.,Test address from testData,tests/smoke/checkout.spec.ts,—
CO-012,Guest Details,all,all,High,Y,Invalid email format on checkout email field shows validation message,Guest user at checkout email step,"1. Enter malformed email (e.g. 'not-an-email') 2. Click Continue",Email format validation message displayed; user does not advance.,—,tests/smoke/checkout.spec.ts,—
CO-013,Payment,all,all,High,Y,Required card field validation shown when Place Order clicked with empty card fields,Checkout at payment step; credit card option selected; card fields empty,"1. Select card payment 2. Leave card fields blank 3. Click Place Order",Required validation on empty card fields; order is NOT placed.,—,tests/smoke/checkout.spec.ts,—
CO-014,Payment,all,all,High,Partial,Order success page loads and shows order number after completing checkout,Valid cart; test card credentials available for staging payment gateway,"1. Complete full checkout flow using test card credentials 2. Click Place Order",Order success page loads; order number visible; no error page.,Test card from testData (staging payment gateway),tests/smoke/checkout.spec.ts,Partial — requires test payment credentials; skip if staging gateway unavailable
CO-015,Login,all,all,Medium,Partial,Logged-in user checkout prefills saved email and shipping address,Logged-in user with saved address; cart has product,"1. Log in 2. Add product 3. Open checkout",Email and shipping address fields pre-populated with saved account data.,TEST_ACCOUNT credentials,tests/smoke/checkout.spec.ts,Partial — depends on account having saved address from prior test run
CO-016,Click & Collect,all,all,Medium,Y,Click & Collect option is visible in the delivery methods section,Checkout; valid address entered; C&C feature enabled,"1. Complete address step 2. Observe delivery methods",Click & Collect (or Store Pickup) option visible in delivery options.,Test address from testData,tests/smoke/checkout.spec.ts,Skip if clickAndCollect feature flag is disabled
CO-017,Coupon,all,all,Medium,Y,Coupon/promo code field is visible in checkout,Checkout loaded; cart has product,"1. Open checkout 2. Look for coupon/promo code input",Coupon input field visible.,—,tests/smoke/checkout.spec.ts,—
CO-018,Billing,all,all,Medium,Y,Billing address defaults to same as shipping address,Checkout at billing/payment step,"1. Complete address + delivery steps 2. Observe billing section",Billing address is defaulted to same-as-shipping; checkbox or toggle shows active.,—,tests/smoke/checkout.spec.ts,—
CO-019,Analytics,all,all,Low,Partial,Purchase event fires on order success page after completing checkout,Analytics tools available; test order placed,"1. Intercept dataLayer.push 2. Complete checkout 3. Read success page events",At least one event matching /purchase|order_success|checkout_complete/i captured.,Test card from testData,tests/smoke/checkout.spec.ts,Partial — event fires verified; payload schema not validated; requires test order completion
CO-van-001,Payment,van,all,High,Y,Vans checkout shows PayPal (Braintree) and PayPal Pay-in-4 payment options,Vans project; checkout at payment step; cart has eligible product,"1. Complete address + delivery steps on Vans checkout 2. Inspect payment methods",PayPal and/or PayPal Pay-in-4 option visible in addition to Afterpay and card.,Test address from testData,tests/smoke/checkout.spec.ts,Vans supports Afterpay + Braintree CC + Braintree PayPal + PayPal Pay-in-4 per site-structure.md
