No.,Test Group,Test Case Description,Preconditions,Steps,Expected Result,Priority
ACC-001,Entry Point,Verify My Account entry point is displayed,Site is accessible,1. Open website 2. Observe header,Account icon/link is visible,High
ACC-002,Entry Point,Verify guest user can open sign-in page,User is guest,1. Click account icon/link,Sign-in page/panel opens correctly,High
ACC-003,Login,Verify login with valid credentials,User has valid account,1. Open sign-in page 2. Enter valid email/password 3. Submit,User logs in successfully and is redirected as designed,Critical
ACC-004,Login,Verify login with invalid password,User has valid email,1. Enter valid email and invalid password 2. Submit,Error message is displayed and user is not logged in,High
ACC-005,Login,Verify login with unregistered email,User is guest,1. Enter unregistered email and password 2. Submit,Error message is displayed,High
ACC-006,Login,Verify required field validation on login form,User is guest,1. Submit empty login form,Required field validation is displayed,High
ACC-007,Login,Verify email format validation on login form,User is guest,1. Enter invalid email format 2. Submit,Email validation message is displayed,Medium
ACC-008,Login,Verify password masking/unmasking if available,Login page opened,1. Enter password 2. Toggle show/hide password,Password visibility changes correctly,Low
ACC-009,Login,Verify user remains logged in after page refresh,User is logged in,1. Refresh page,User remains logged in,High
ACC-010,Login,Verify logged-in state is reflected in header,User is logged in,1. Observe header/account area,Header shows logged-in account state correctly,High
ACC-011,Logout,Verify user can log out successfully,User is logged in,1. Open account menu 2. Click logout,User is logged out and redirected as designed,Critical
ACC-012,Logout,Verify protected account page is not accessible after logout,User logged out,1. Try to open My Account URL directly,User is redirected to login page or access is blocked,High
ACC-013,Registration,Verify registration page opens correctly,User is guest,1. Open registration page,Registration form is displayed correctly,High
ACC-014,Registration,Verify account can be created with valid details,New valid email available,1. Fill required fields 2. Submit registration,Account is created successfully,Critical
ACC-015,Registration,Verify duplicate email registration is blocked,Email already registered,1. Register with existing email,Error message is displayed,High
ACC-016,Registration,Verify required field validation on registration form,User is guest,1. Submit empty registration form,Required field validation is displayed,High
ACC-017,Registration,Verify invalid email format validation on registration form,User is guest,1. Enter invalid email 2. Submit,Email validation message is displayed,Medium
ACC-018,Registration,Verify password rule validation,User is guest,1. Enter password not meeting rule 2. Submit,Password rule validation is displayed,High
ACC-019,Registration,Verify confirm password validation,User is guest,1. Enter different password and confirm password 2. Submit,Confirm password validation is displayed,High
ACC-020,Registration,Verify marketing/newsletter opt-in behavior during registration,Registration form has opt-in checkbox,1. Register with checkbox selected/unselected,Marketing preference is saved according to selection,Medium
ACC-021,Forgot Password,Verify forgot password page opens correctly,User is guest,1. Click Forgot Password,Forgot password form is displayed,High
ACC-022,Forgot Password,Verify forgot password with registered email,Registered email exists,1. Enter registered email 2. Submit,Password reset confirmation message is displayed,High
ACC-023,Forgot Password,Verify forgot password with invalid email format,User is guest,1. Enter invalid email 2. Submit,Email validation message is displayed,Medium
ACC-024,Forgot Password,Verify forgot password required field validation,User is guest,1. Submit empty forgot password form,Required field validation is displayed,Medium
ACC-025,Account Dashboard,Verify account dashboard loads successfully,User is logged in,1. Open My Account,Account dashboard loads without error or broken layout,High
ACC-026,Account Dashboard,Verify customer name/email is displayed correctly,User is logged in,1. Open dashboard,Customer information is displayed correctly,High
ACC-027,Account Dashboard,Verify account navigation menu is displayed,User is logged in,1. Open My Account,Account navigation links are visible,High
ACC-028,Account Dashboard,Verify account navigation links redirect correctly,User is logged in,1. Click each account navigation link,Correct account section opens,High
ACC-029,Account Details,Verify personal information page loads correctly,User is logged in,1. Open Account Details,Personal information form is displayed,High
ACC-030,Account Details,Verify customer can update first name/last name,User is logged in,1. Edit name fields 2. Save,Updated name is saved successfully,High
ACC-031,Account Details,Verify required field validation for personal info,User is logged in,1. Clear required field 2. Save,Required field validation is displayed,Medium
ACC-032,Account Details,Verify email change flow if supported,User is logged in,1. Edit email 2. Save,Email update flow behaves as designed,Medium
ACC-033,Account Details,Verify invalid email validation when updating email,User is logged in,1. Enter invalid email 2. Save,Email validation message is displayed,Medium
ACC-034,Change Password,Verify change password section opens correctly,User is logged in,1. Open Change Password,Change password fields are displayed,High
ACC-035,Change Password,Verify password can be changed with valid current password,User is logged in,1. Enter current password 2. Enter new valid password 3. Save,Password is changed successfully,Critical
ACC-036,Change Password,Verify change password fails with incorrect current password,User is logged in,1. Enter incorrect current password 2. Save,Error message is displayed and password is not changed,High
