ID,Component,Brand Scope,Region Scope,Priority,Automatable,Description,Preconditions,Steps,Expected Result,Test Data,Linked Spec File,Notes
PL-001,Page Load,all,all,Critical,Y,PLP loads with at least one product card visible,Valid PLP/category URL accessible,1. Open a valid PLP URL,"Category heading visible; at least one product card rendered; no broken layout.",PLP URL from testData,tests/smoke/plp.spec.ts,Skechers SPA: cards require JS hydration — see PL-skx-001
PL-002,Product Nav,all,all,Critical,Y,Clicking a product card navigates to that product's PDP,PLP loaded with product cards,"1. Open PLP 2. Click first product card (image or name)",URL changes to the product's PDP path; PDP loads correctly.,PLP URL from testData,tests/smoke/plp.spec.ts,—
PL-003,Add to Cart,all,all,Critical,Y,Quick Add adds an in-stock product to cart from PLP,Quick Add enabled; in-stock configurable product on PLP,"1. Open PLP 2. Click Quick Add on a product 3. Select required size/variant 4. Click Add to Cart/Bag",Header cart count increments; product appears in mini-cart or cart.,PLP URL from testData,tests/smoke/plp.spec.ts,Skip if quickAddOnPlp=false
PL-004,Filtering,all,all,High,Y,Applying a single filter updates the product list,PLP loaded; filter options available,"1. Open PLP 2. Select one filter option (e.g. a colour)",Product list updates to show only products matching the selected filter.,PLP URL from testData,tests/smoke/plp.spec.ts,—
PL-005,Filtering,all,all,High,Y,Applying multiple filters narrows the product list to combined criteria,PLP loaded; multiple filter options available,"1. Open PLP 2. Select one filter 3. Select a second filter from another facet",Product count decreases; products shown match all selected filters.,PLP URL from testData,tests/smoke/plp.spec.ts,—
PL-006,Filtering,all,all,High,Y,Clear All filters restores the unfiltered product list,At least one filter applied,"1. Apply a filter 2. Click Clear All",All active filter chips removed; product list resets to unfiltered state.,PLP URL from testData,tests/smoke/plp.spec.ts,—
PL-007,Product Grid,all,all,High,Y,Product card shows image + name + price,PLP loaded with products,"1. Open PLP 2. Inspect first product card","Product image (not broken), product name, and price all visible and non-empty.",PLP URL from testData,tests/smoke/plp.spec.ts,—
PL-008,Sorting,all,all,High,Y,Sorting by price low-to-high reorders products,PLP loaded; sort controls visible,"1. Open PLP 2. Select Price: Low to High sort option",Products reorder with the lowest-priced item appearing first.,PLP URL from testData,tests/smoke/plp.spec.ts,—
PL-009,Pagination,all,all,High,Y,Load More / next page loads additional products without duplicates,PLP has more products than first page,"1. Open PLP 2. Scroll to bottom 3. Click Load More or next page",Additional product cards appear; no duplicate cards; total count increases.,PLP URL from testData,tests/smoke/plp.spec.ts,—
PL-010,Filtering,all,all,High,Y,Active filter chip visible; removing it updates the product list,At least one filter applied,"1. Apply a filter 2. Verify active chip is shown 3. Click the chip to remove it",Active chip disappears; product list expands back to reflect removed filter.,PLP URL from testData,tests/smoke/plp.spec.ts,—
PL-011,Add to Cart,all,all,High,Y,Quick Add opens size/variant selector before ATC for a configurable product,Quick Add enabled; configurable product (size required) on PLP,"1. Open PLP 2. Click Quick Add on a configurable product",Size/variant selector panel or modal opens; product NOT yet added to cart.,PLP URL from testData,tests/smoke/plp.spec.ts,Skip if quickAddOnPlp=false
PL-012,Responsive,all,all,High,Y,Mobile filter panel opens and applying a filter updates the product list,Mobile viewport 390×844; PLP loaded,"1. Open PLP on mobile 2. Tap filter button 3. Select a filter 4. Apply",Filter panel opens; product list updates to match selected filter.,PLP URL from testData,tests/smoke/plp.spec.ts,—
PL-013,Product Details,all,all,High,Partial,Sale product card shows original and discounted price,PLP contains a sale product,"1. Open PLP 2. Locate a sale product card 3. Inspect price area",Both original (struck-through) and sale price visible on card.,PLP URL from testData,tests/smoke/plp.spec.ts,@data-dependent — sale product may not be available at all times
PL-014,Breadcrumb,all,all,Medium,Y,Breadcrumb visible and category link navigates to parent category or homepage,PLP loaded,"1. Open PLP 2. Observe breadcrumb 3. Click parent category crumb",URL changes to parent category or homepage; page loads correctly.,PLP URL from testData,tests/smoke/plp.spec.ts,—
PL-015,Stock,all,all,Medium,Y,OOS product card displays correct unavailable state,PLP contains at least one OOS product,"1. Open PLP 2. Identify OOS product card",OOS card is visually distinguished (badge/label/disabled Quick Add); Quick Add cannot proceed.,PLP URL from testData,tests/smoke/plp.spec.ts,—
PL-016,Wishlist,all,all,Medium,Y,Wishlist icon is visible on each product card,PLP loaded; wishlist feature enabled,1. Open PLP 2. Inspect product cards,Wishlist icon/heart button visible on product cards.,PLP URL from testData,tests/smoke/plp.spec.ts,—
PL-017,Sorting,all,all,Medium,Y,Sorting by price high-to-low reorders products in descending order,PLP loaded; sort controls visible,"1. Open PLP 2. Select Price: High to Low",Products reorder with highest-priced item appearing first.,PLP URL from testData,tests/smoke/plp.spec.ts,—
