ID,Component,Brand Scope,Region Scope,Priority,Automatable,Description,Preconditions,Steps,Expected Result,Test Data,Linked Spec File,Notes
MC-001,Entry,all,all,Critical,Y,Cart icon click opens mini-cart panel,Homepage or any page loaded,1. Click cart icon in header,Mini-cart drawer/panel becomes visible. Close button and product area are present.,—,tests/smoke/mini-cart.spec.ts,—
MC-002,Cart Count,all,all,Critical,Y,Cart count in header increments after adding a product,Guest user; empty cart; in-stock product on PDP,1. Read cart icon count (baseline 0) 2. Add product from PDP 3. Read cart icon count again,Count increments by 1 (or by the qty added).,Product URL from testData,tests/smoke/mini-cart.spec.ts,—
MC-003,Remove,all,all,Critical,Y,Removing a product from mini-cart decrements count and updates subtotal,Cart has 1 product,1. Open mini-cart 2. Click remove on product 3. Observe count and subtotal,Product is removed. Count decrements. Subtotal updates to $0 or empty-state is shown.,Product URL from testData,tests/smoke/mini-cart.spec.ts,—
MC-004,Quantity,all,all,Critical,Y,Increasing and decreasing qty in mini-cart updates subtotal,Cart has 1 product; qty controls enabled,1. Open mini-cart 2. Increase qty by 1 3. Read subtotal 4. Decrease qty by 1 5. Read subtotal,Subtotal after increase = price × new-qty. After decrease = price × original-qty.,—,tests/smoke/mini-cart.spec.ts,—
MC-005,CTA,all,all,Critical,Y,Checkout CTA in mini-cart navigates to checkout,Cart has valid product,1. Open mini-cart 2. Click Checkout CTA,URL changes to match checkout URL pattern (/checkout).,—,tests/smoke/mini-cart.spec.ts,—
MC-006,Totals,all,all,Critical,Y,Mini-cart subtotal equals sum of item prices × quantities,Cart has 1+ products,1. Open mini-cart 2. Read item price × qty for each line 3. Compare with displayed subtotal,Subtotal matches expected sum (within rounding tolerance).,—,tests/smoke/mini-cart.spec.ts,—
MC-007,Empty State,all,all,High,Y,Empty mini-cart shows empty-state message and no product rows,Cart is empty,1. Open mini-cart,Empty state message is visible. No product rows present. Continue shopping CTA is visible.,—,tests/smoke/mini-cart.spec.ts,—
MC-008,Product Details,all,all,High,Y,Mini-cart product row shows image + name + variant + price,Cart has a configurable product,1. Add product with size and colour 2. Open mini-cart 3. Inspect product row,"Product image, name, selected size, selected colour, and price are all visible and non-empty.",—,tests/smoke/mini-cart.spec.ts,—
MC-009,Product Nav,all,all,High,Y,Clicking product name or image in mini-cart navigates to PDP,Cart has product,1. Open mini-cart 2. Click product image or name,URL changes to the product's PDP path.,—,tests/smoke/mini-cart.spec.ts,—
MC-010,Entry,all,all,High,Y,Mini-cart closes via close button,Mini-cart is open,1. Click close button or backdrop,Mini-cart panel is no longer visible.,—,tests/smoke/mini-cart.spec.ts,Close is transform:translateX() animation — assert panel not visible after transition
MC-011,CTA,all,all,High,Y,View Cart/Bag CTA in mini-cart navigates to /cart,Mini-cart is open; Cart has product,1. Click View Cart/Bag link,URL becomes /cart and cart page is displayed.,—,tests/smoke/mini-cart.spec.ts,—
MC-012,Cart Count,all,all,High,Y,Cart count shows 0 or is hidden when cart is empty,Guest user; cart is empty,1. Open any page 2. Observe cart icon count,Count is 0 or icon shows no numeric badge.,—,tests/smoke/mini-cart.spec.ts,—
MC-013,ATC Integration,all,all,High,Y,Product added from PDP appears in mini-cart with correct variant,In-stock configurable product on PDP,1. Select colour and size 2. Click Add to Cart/Bag 3. Open mini-cart,Mini-cart shows exact product name + selected size + selected colour.,—,tests/smoke/mini-cart.spec.ts,—
MC-014,Remove,all,all,High,Y,Removing last item in mini-cart shows empty state,Cart has exactly 1 product,1. Open mini-cart 2. Remove product,Empty state is displayed. Cart count is 0.,—,tests/smoke/mini-cart.spec.ts,—
MC-015,Remove,all,all,High,Y,Removing one item in multi-item cart leaves other items intact,Cart has 2+ products,1. Open mini-cart 2. Remove one product,Only the removed product disappears. Other items remain unchanged.,—,tests/smoke/mini-cart.spec.ts,—
MC-016,Payment Msg,all,all,High,Y,Afterpay/payment messaging is displayed in mini-cart when feature is enabled,Cart has product; brand has miniCartPaymentMessaging=true,1. Add product 2. Open mini-cart 3. Inspect footer/messaging area,Payment messaging (Afterpay or similar) is visible and non-empty.,—,tests/smoke/mini-cart.spec.ts,Skechers disables this — validated in MC-skx-001
MC-017,Responsive,all,all,High,Y,Mini-cart is functional on mobile viewport,Mobile viewport 390×844; Cart has product,1. Add product 2. Tap cart icon 3. Verify mini-cart panel opens 4. Tap Checkout CTA,Mini-cart opens. Checkout CTA is visible and navigates to /checkout.,—,tests/smoke/mini-cart.spec.ts,—
MC-018,ATC Integration,all,all,Medium,Y,Product added via Quick Add from PLP appears in mini-cart,Quick Add enabled; PLP accessible,1. Navigate to PLP 2. Click Quick Add on first product 3. Select size if required 4. Add 5. Open mini-cart,Mini-cart contains the quick-added product.,—,tests/smoke/mini-cart.spec.ts,Skip if quickAddOnPlp=false
MC-019,Product Details,all,all,Medium,Partial,Sale product shows original and discounted price in mini-cart,Cart has a sale product; @data-dependent,1. Add a sale product 2. Open mini-cart,Sale price and original price are both visible in the product row.,Sale product URL if available,tests/smoke/mini-cart.spec.ts,@data-dependent — sale item may not exist at all times
MC-020,Quantity,all,all,Medium,Y,Qty cannot be set below 1; remove is triggered or qty is blocked,Cart has product; qty decrease supported,1. Open mini-cart 2. Decrease qty to 0 or below,Either product is removed OR qty reverts to 1 OR remove confirmation appears.,—,tests/smoke/mini-cart.spec.ts,—
MC-021,Persistence,all,all,Medium,Y,Mini-cart contents persist after page navigation,Cart has product,1. Open any page 2. Navigate to another page 3. Open mini-cart,Cart contents are unchanged.,—,tests/smoke/mini-cart.spec.ts,—
MC-022,Persistence,all,all,Medium,Y,Mini-cart contents persist after page refresh,Cart has product,1. Add product 2. Refresh page 3. Open mini-cart,Product is still present in mini-cart.,—,tests/smoke/mini-cart.spec.ts,—
MC-023,Analytics,all,all,Low,Partial,Remove-from-cart action fires a dataLayer event,Analytics tools available; Cart has product,1. Intercept dataLayer.push 2. Remove product from mini-cart 3. Read captured events,At least one event matching /remove|cart_update|cart/i is captured.,—,tests/smoke/mini-cart.spec.ts,Partial — verifies event fires; payload schema not validated
MC-skx-001,Payment Msg,skx,all,High,Y,Skechers mini-cart does NOT display Afterpay messaging,Skechers project; Cart has product,1. Add product 2. Open mini-cart 3. Inspect entire mini-cart body,Mini-cart body text does NOT contain /afterpay|after pay|4 payments|installments/i.,—,tests/smoke/mini-cart.spec.ts,Brand feature flag miniCartPaymentMessaging=false for Skechers
MC-drm-001,CTA,drm,all,High,Y,Dr. Martens mini-cart View CTA uses "Bag" (not "Cart"),Dr. Martens project; Cart has product,1. Open mini-cart 2. Inspect View Cart/Bag CTA text,"CTA text matches /bag/i. Does NOT contain standalone word ""cart"" or ""basket"".",—,tests/smoke/mini-cart.spec.ts,Consistent with DRM brand terminology
MC-van-001,Payment Msg,van,all,Medium,Y,Vans mini-cart payment messaging mentions PayPal as an option,Vans project; Cart has product with total eligible for PayPal,1. Add product 2. Open mini-cart 3. Inspect payment messaging,Messaging contains /paypal|pay in 4|braintree/i in addition to Afterpay.,—,tests/smoke/mini-cart.spec.ts,Vans supports Afterpay + Braintree CC + PayPal + PayPal Pay-in-4
