ID,Component,Brand Scope,Region Scope,Priority,Automatable,Description,Preconditions,Steps,Expected Result,Test Data,Linked Spec File,Notes
PD-001,Page Load,all,all,Critical,Y,PDP loads with product name + price + ATC button visible,In-stock product URL available,1. Open a valid PDP URL,"Product h1 title visible; price visible; Add to Cart/Bag button visible; no broken layout.",Product URL from testData,tests/smoke/pdp.spec.ts,—
PD-002,Add to Cart,all,all,Critical,Y,Product can be added to cart — header cart count increments,In-stock configurable product; required options selectable,"1. Open PDP 2. Select colour 3. Select size 4. Click Add to Cart/Bag",Header cart count increments by 1 (or by qty selected).,Product URL from testData,tests/smoke/pdp.spec.ts,—
PD-003,Add to Cart,all,all,Critical,Y,Correct variant (colour + size) appears in cart after ATC,In-stock configurable product,"1. Open PDP 2. Select specific colour and size 3. Click Add to Cart/Bag 4. Open /cart",Cart row shows the exact colour and size that was selected.,Product URL from testData,tests/smoke/pdp.spec.ts,—
PD-004,Add to Cart,all,all,High,Y,ATC is blocked and validation shown when required variant is not selected,Configurable product requiring colour and size,"1. Open PDP 2. Do NOT select required options 3. Click Add to Cart/Bag",Product is NOT added to cart; validation prompt or error message visible.,Product URL from testData,tests/smoke/pdp.spec.ts,—
PD-005,Product Info,all,all,High,Y,Product name and price are visible and non-empty,PDP loaded,1. Open PDP 2. Inspect h1 and price,"Product name (h1) is non-empty; price is visible and matches expected format (e.g. $99.99).",Product URL from testData,tests/smoke/pdp.spec.ts,—
PD-006,Product Info,all,all,High,Partial,Sale product shows original price and discounted price on PDP,PDP has a sale-priced product,"1. Open sale product PDP 2. Inspect price area",Both original (struck-through) and sale price visible.,Sale product URL if available,tests/smoke/pdp.spec.ts,@data-dependent — sale product may not be available at all times
PD-007,Variant Selection,all,all,High,Y,Colour swatches visible; selecting a colour updates product images and URL,Configurable product with colour variants,"1. Open PDP 2. Observe colour swatches 3. Select a different colour",Colour swatch highlighted; main image updates; URL changes to reflect selected colour.,Product URL from testData,tests/smoke/pdp.spec.ts,DRM colour swatches update URL slug per site-structure
PD-008,Variant Selection,all,all,High,Y,Size grid visible; OOS size is visually distinguished and unselectable,Product has at least one OOS size,"1. Open PDP 2. Inspect size grid",All sizes rendered; OOS size is visually different (strikethrough/disabled); cannot be selected.,Product URL from testData,tests/smoke/pdp.spec.ts,—
PD-009,Add to Cart,all,all,High,Y,ATC success feedback is shown after adding product,In-stock product with options selected,"1. Select colour and size 2. Click Add to Cart/Bag","Mini-cart panel opens OR a success toast/notification appears; cart count updates.",Product URL from testData,tests/smoke/pdp.spec.ts,—
PD-010,Media Gallery,all,all,High,Y,Main image and thumbnails visible; selecting a thumbnail updates the main image,Product has 2+ images,"1. Open PDP 2. Observe main image and thumbnails 3. Click a different thumbnail",Main image updates to the selected thumbnail; previously selected thumbnail deselects.,Product URL from testData,tests/smoke/pdp.spec.ts,—
