No.,Test Group,Test Case Description,Preconditions,Steps,Expected Result,Priority
MC-001,Entry Point,Verify mini cart icon is displayed,Site is accessible,1. Open any page,Mini cart/cart icon is visible in header,High
MC-002,Entry Point,Verify mini cart opens when clicking cart icon,Site is accessible,1. Click cart icon,Mini cart panel/dropdown opens correctly,High
MC-003,Entry Point,Verify mini cart can be closed,Mini cart is opened,1. Click close icon or outside panel,Mini cart closes correctly,Medium
MC-004,Empty State,Verify empty mini cart state,Cart is empty,1. Open mini cart,Empty cart message and continue shopping CTA are displayed,High
MC-005,Cart Count,Verify cart count is correct when cart is empty,Cart is empty,1. Observe cart icon,Cart count is hidden or shows 0 according to design,High
MC-006,Cart Count,Verify cart count updates after adding product,Product is added to cart,1. Add product from PDP/PLP 2. Observe cart icon,Cart count updates correctly,Critical
MC-007,Product Details,Verify added product is displayed in mini cart,Cart has product,1. Open mini cart,Product is displayed in mini cart,High
MC-008,Product Details,Verify product image is displayed,Cart has product,1. Open mini cart,Product image is visible and not broken,High
MC-009,Product Details,Verify product name is displayed,Cart has product,1. Open mini cart,Product name is visible and correct,High
MC-010,Product Details,Verify product variant details are displayed,Cart has configurable product,1. Open mini cart,"Selected size, colour, or variant details are displayed correctly",High
MC-011,Product Details,Verify product price is displayed,Cart has product,1. Open mini cart,Product price is visible and formatted correctly for AU/NZ,High
MC-012,Product Details,Verify sale price is displayed correctly,Cart has sale product,1. Open mini cart,Sale price/original price is displayed correctly where applicable,Medium
MC-013,Product Navigation,Verify product image/name redirects to PDP,Cart has product,1. Open mini cart 2. Click product image/name,Correct PDP opens,Medium
MC-014,Quantity,Verify quantity is displayed correctly,Cart has product,1. Open mini cart,Item quantity is displayed correctly,High
MC-015,Quantity,Verify increasing quantity updates mini cart,Mini cart supports quantity update,1. Open mini cart 2. Increase quantity,"Quantity, item subtotal, cart count, and totals update correctly",Critical
MC-016,Quantity,Verify decreasing quantity updates mini cart,Product quantity > 1,1. Open mini cart 2. Decrease quantity,"Quantity, item subtotal, cart count, and totals update correctly",Critical
