ID,Component,Brand Scope,Region Scope,Priority,Automatable,Description,Preconditions,Steps,Expected Result,Test Data,Linked Spec File,Notes
WL-001,Add to Wishlist,all,all,Critical,Y,Logged-in user can add a product to wishlist from PDP,User is logged in; in-stock product PDP accessible,"1. Log in 2. Open PDP 3. Click wishlist icon/button",Product is added to wishlist; wishlist icon state changes to active/filled.,Product URL from testData,tests/smoke/wishlist.spec.ts,Vans also supports guest wishlist — see WL-van-001
WL-002,Move to Cart,all,all,Critical,Y,Wishlist product can be added to cart from the wishlist page,User is logged in; wishlist has in-stock product,"1. Open wishlist page 2. Click Add to Cart on a product",Product added to cart; header cart count increments.,Product URL from testData,tests/smoke/wishlist.spec.ts,—
WL-003,Remove,all,all,Critical,Y,Product can be removed from the wishlist page,User is logged in; wishlist has product,"1. Open wishlist page 2. Click Remove on a product",Product row disappears from wishlist.,Product URL from testData,tests/smoke/wishlist.spec.ts,—
WL-004,Entry Point,all,all,High,Y,Wishlist icon is visible on the PDP,PDP loaded; wishlist feature enabled,1. Open PDP 2. Inspect wishlist icon,Wishlist heart icon or Add to Wishlist button is visible.,Product URL from testData,tests/smoke/wishlist.spec.ts,—
WL-005,Entry Point,all,all,High,Y,Wishlist icon is visible on PLP product cards,PLP loaded; wishlist feature enabled,1. Open PLP 2. Inspect product cards,Wishlist icon/heart button visible on product cards.,PLP URL from testData,tests/smoke/wishlist.spec.ts,—
WL-006,Guest Redirect,"drm,pla,skx",all,High,Y,Guest user is redirected to login when clicking the wishlist icon,Guest user (not logged in); product on PDP or PLP,"1. Ensure not logged in 2. Click wishlist icon on PDP or PLP",Login/register flow is triggered; product is NOT silently added to wishlist.,Product URL from testData,tests/smoke/wishlist.spec.ts,Vans is excluded — Vans uses guest localStorage wishlist (WL-van-001)
WL-007,UI State,all,all,High,Y,Wishlist icon state updates to active/filled after adding a product,User is logged in (or Vans guest); wishlist feature available,"1. Open PDP 2. Note wishlist icon state (unfilled) 3. Click wishlist icon",Wishlist icon changes to active/filled state indicating product is wishlisted.,Product URL from testData,tests/smoke/wishlist.spec.ts,—
WL-008,Wishlist Page,all,all,High,Y,Wishlist page loads with product showing image + name + price,User is logged in; wishlist has a product,"1. Add product to wishlist 2. Navigate to wishlist page 3. Inspect product card","Product image (not broken), name, and price all visible and non-empty.",Product URL from testData,tests/smoke/wishlist.spec.ts,—
WL-009,Wishlist Page,all,all,High,Y,Empty wishlist state is shown when wishlist has no products,User is logged in; wishlist is empty,1. Open wishlist page,"Empty-state message visible; no product rows; continue shopping or browse CTA visible.",—,tests/smoke/wishlist.spec.ts,—
WL-010,Remove,all,all,High,Y,Removing the last item from wishlist shows empty state,User is logged in; wishlist has exactly 1 product,"1. Open wishlist page 2. Remove the product",Empty state displayed.,Product URL from testData,tests/smoke/wishlist.spec.ts,—
WL-011,Remove,all,all,High,Y,Removing one item from multi-item wishlist leaves others intact,User is logged in; wishlist has 2+ products,"1. Open wishlist page 2. Remove one product 3. Inspect remaining items",Only the removed product disappears; other items unchanged.,Product URL from testData,tests/smoke/wishlist.spec.ts,Requires adding 2 products to wishlist in setup
WL-012,Move to Cart,all,all,High,Y,Header cart count updates after adding a wishlist item to cart,User is logged in; wishlist has in-stock product,"1. Note baseline cart count 2. Open wishlist page 3. Add product to cart",Cart count increments by 1 (or qty added).,Product URL from testData,tests/smoke/wishlist.spec.ts,—
WL-013,Persistence,all,all,High,Y,Wishlist contents persist after page refresh,User is logged in; wishlist has product,"1. Add product to wishlist 2. Refresh page 3. Open wishlist page",Wishlisted product still present.,Product URL from testData,tests/smoke/wishlist.spec.ts,—
WL-014,Product Nav,all,all,Medium,Y,Clicking a wishlist product name or image navigates to its PDP,Wishlist page loaded with product,"1. Open wishlist page 2. Click product image or name",URL changes to the product's PDP path.,Product URL from testData,tests/smoke/wishlist.spec.ts,—
WL-015,Stock,all,all,Medium,Partial,OOS product in wishlist shows unavailable/out-of-stock state,Wishlist contains a product that is OOS,"1. Open wishlist page with OOS product 2. Inspect product card",OOS state/badge visible; Add to Cart is disabled or unavailable.,OOS product URL if available,tests/smoke/wishlist.spec.ts,@data-dependent — OOS product may not be reliably reproduced in staging
WL-016,Persistence,all,all,Medium,Y,Wishlist persists after logout and re-login,User is logged in; wishlist has product,"1. Open wishlist 2. Log out 3. Log in again 4. Open wishlist",Same products still present in wishlist.,Product URL from testData,tests/smoke/wishlist.spec.ts,—
WL-017,Analytics,all,all,Low,Partial,Adding a product to wishlist from PDP fires a dataLayer event,Analytics tools available; user logged in,"1. Intercept dataLayer.push 2. Click wishlist icon on PDP 3. Read captured events",At least one event matching /wishlist|add_to_wishlist/i captured.,Product URL from testData,tests/smoke/wishlist.spec.ts,Partial — event fires verified; payload schema not validated
WL-van-001,Guest Wishlist,van,all,High,Y,Vans guest wishlist works without login — product saved in localStorage,Vans project; user NOT logged in,"1. Ensure not logged in 2. Open PDP 3. Click wishlist icon 4. Open wishlist page (or check localStorage)","Product is added to wishlist without login prompt; wishlist icon shows active state; product visible in wishlist page.",Product URL from testData,tests/smoke/wishlist.spec.ts,Vans guest wishlist uses localStorage — no account required; unique to Vans per site-structure.md
