ID,Component,Brand Scope,Region Scope,Priority,Automatable,Description,Preconditions,Steps,Expected Result,Test Data,Linked Spec File,Notes
CT-001,Page Load,all,all,Critical,Y,Cart page loads with product in cart,Guest user; in-stock product added to cart,1. Navigate to /cart,Page heading visible; at least one product row present; no broken layout.,Product URL from testData,tests/smoke/cart.spec.ts,—
CT-002,CTA,all,all,Critical,Y,Checkout CTA navigates to /checkout,Cart has valid product,1. Open /cart 2. Click Checkout CTA,URL changes to /checkout or matches checkout URL pattern.,—,tests/smoke/cart.spec.ts,—
CT-003,Quantity,all,all,Critical,Y,Increasing item quantity updates line total and subtotal,"Cart has 1 product at qty 1; stock available","1. Open /cart 2. Note line price and subtotal 3. Increase qty by 1 4. Read new line total and subtotal",Line total = price × new qty; subtotal increases accordingly.,—,tests/smoke/cart.spec.ts,—
CT-004,Quantity,all,all,Critical,Y,Decreasing item quantity (from 2 to 1) updates line total and subtotal,Cart has product at qty ≥ 2,"1. Open /cart 2. Note line price and subtotal 3. Decrease qty by 1 4. Read new line total and subtotal",Line total = price × new qty; subtotal decreases accordingly.,—,tests/smoke/cart.spec.ts,Setup: add product and set qty to 2 before this step
CT-005,Remove,all,all,Critical,Y,Removing a product from cart deletes the row and updates subtotal,Cart has product,"1. Open /cart 2. Click Remove on a product 3. Observe cart",Product row disappears; subtotal updates; header cart count decrements.,—,tests/smoke/cart.spec.ts,—
CT-006,Totals,all,all,Critical,Y,Cart subtotal equals sum of (item price × qty) across all line items,Cart has 1+ products,"1. Open /cart 2. Read each line: price × qty 3. Sum them 4. Compare to displayed subtotal",Displayed subtotal matches computed sum (within rounding tolerance).,—,tests/smoke/cart.spec.ts,—
CT-007,Empty State,all,all,High,Y,Empty cart shows empty-state message and continue shopping CTA,Guest user; cart is empty,1. Navigate to /cart,"Empty-state message visible; no product rows present; continue shopping CTA visible.",—,tests/smoke/cart.spec.ts,—
CT-008,Product Details,all,all,High,Y,Cart product row shows image + name + variant + price,Cart has a configurable product with size and colour selected,"1. Add configurable product with size and colour from PDP 2. Navigate to /cart 3. Inspect product row","Product image, name, selected size, selected colour, and price all visible and non-empty.",Product URL from testData,tests/smoke/cart.spec.ts,—
CT-009,Remove,all,all,High,Y,Removing the last item in cart shows empty state,Cart has exactly 1 product,"1. Open /cart 2. Click Remove on the product","Empty state displayed; header cart count becomes 0.",—,tests/smoke/cart.spec.ts,—
CT-010,Remove,all,all,High,Y,Removing one item from multi-item cart leaves other items intact,Cart has 2+ products,"1. Open /cart 2. Note all product names 3. Remove one product 4. Inspect remaining rows",Only the removed product disappears; other items unchanged; subtotal updates.,—,tests/smoke/cart.spec.ts,Requires ATC of 2 products in setup
CT-011,CTA,all,all,High,Partial,Checkout CTA is blocked or shows error when cart contains OOS item,Cart contains out-of-stock or unavailable product,"1. Open /cart with OOS product 2. Attempt to click Checkout",Checkout is blocked; OOS or error message visible; user cannot proceed.,OOS product URL if available,tests/smoke/cart.spec.ts,@data-dependent — OOS product may not be reliably reproduced in staging
CT-012,Cart Count,all,all,High,Y,Header cart icon count matches total quantity of items in cart,Cart has product(s) with known quantities,"1. Open /cart 2. Read header cart icon count 3. Compare with sum of item quantities",Header count equals sum of all item quantities in cart.,—,tests/smoke/cart.spec.ts,—
CT-013,Coupon,all,all,High,Partial,Applying a valid coupon code shows discount line and reduces cart total,Valid coupon code in test data; cart has eligible product,"1. Open /cart 2. Enter valid coupon code 3. Click Apply",Discount line appears in totals; cart total decreases by coupon value.,Coupon code from testData,tests/smoke/cart.spec.ts,@data-dependent — coupon may expire or be environment-specific
CT-014,Coupon,all,all,High,Y,Entering an invalid coupon code shows error message and leaves totals unchanged,Cart has product; coupon input visible,"1. Open /cart 2. Enter invalid code (e.g. INVALID-9999) 3. Click Apply",Error message visible; cart totals unchanged.,—,tests/smoke/cart.spec.ts,—
CT-015,Coupon,all,all,High,Y,Qty cannot be decreased below 1; product removal or qty block is triggered,Cart has product at qty 1,"1. Open /cart 2. Click decrease qty button",Either remove confirmation appears OR product is removed OR qty stays at 1.,—,tests/smoke/cart.spec.ts,Behaviour varies by brand: some auto-remove; some block; some confirm
