ID,Component,Brand Scope,Region Scope,Priority,Automatable,Description,Preconditions,Steps,Expected Result,Test Data,Linked Spec File,Notes
SR-001,Search Results,all,all,Critical,Y,Typing a keyword and pressing Enter opens the search results page with results,Search accessible; matching products exist,"1. Click search icon in header 2. Type a valid keyword 3. Press Enter",Search results page loads; product cards visible; no broken layout.,Keyword from testData (e.g. 'shoes'),tests/smoke/search.spec.ts,Platypus test keyword: 'sneakers' per site-structure
SR-002,Autocomplete,all,all,Critical,Y,Clicking a product suggestion in autocomplete navigates to that product's PDP,Search input open; autocomplete suggestions appear,"1. Type partial keyword 2. Wait for autocomplete suggestions 3. Click a product suggestion",URL changes to the product's PDP path; PDP loads correctly.,Keyword from testData,tests/smoke/search.spec.ts,—
SR-003,Search Results,all,all,Critical,Y,Clicking a product card on the search results page navigates to the product's PDP,Search results page loaded with products,"1. Search valid keyword 2. Click first product card (image or name)",URL changes to the product's PDP path; PDP loads correctly.,Keyword from testData,tests/smoke/search.spec.ts,—
SR-004,Search Results,all,all,Critical,Y,Clicking the search button submits keyword search and loads results page,Search input has keyword,"1. Type keyword 2. Click search submit button",Search results page opens; results match keyword.,Keyword from testData,tests/smoke/search.spec.ts,—
SR-005,Entry Point,all,all,High,Y,Search icon or input is visible in the header,Any page loaded,1. Open homepage 2. Inspect header,Search entry point (icon or input field) is visible and interactable.,—,tests/smoke/search.spec.ts,—
SR-006,Autocomplete,all,all,High,Y,Autocomplete suggestions appear after typing a keyword,Search input open,"1. Click search icon 2. Type partial keyword (≥2 chars)",Autocomplete suggestion panel appears with at least one suggestion.,Keyword from testData,tests/smoke/search.spec.ts,—
SR-007,Autocomplete,all,all,High,Y,Autocomplete product suggestion shows product name and image,Autocomplete visible with product suggestion,"1. Type keyword 2. Inspect product suggestions in autocomplete",Product name visible and non-empty; product image visible and not broken.,Keyword from testData,tests/smoke/search.spec.ts,—
SR-008,Search Results,all,all,High,Y,No-results state is shown for a non-matching keyword,Search accessible,"1. Type non-matching/nonsense keyword 2. Press Enter or click search",No-results message visible; no unrelated products shown; page does not break.,Nonsense keyword (e.g. 'xyzqwerty999'),tests/smoke/search.spec.ts,—
SR-009,Search Results,all,all,High,Y,Search result products are relevant to the searched keyword,Matching products exist,"1. Search valid keyword (e.g. 'sneakers') 2. Inspect product names in results",Product names contain or relate to searched keyword; no obviously unrelated products.,Keyword from testData,tests/smoke/search.spec.ts,—
SR-010,Filtering,all,all,High,Y,Applying a filter on the search results page narrows the product list,Search result page loaded; filter options available,"1. Search valid keyword 2. Apply one filter (e.g. a colour or size)",Product list updates to match keyword + filter; result count decreases or stays equal.,Keyword from testData,tests/smoke/search.spec.ts,—
SR-011,Sorting,all,all,High,Y,Sorting search results by price reorders products,Search result page loaded; sort controls visible,"1. Search valid keyword 2. Select Price: Low to High",Products reorder with lowest-priced item first.,Keyword from testData,tests/smoke/search.spec.ts,—
SR-012,Responsive,all,all,High,Y,Mobile search panel opens and search returns results,Mobile viewport 390×844,"1. Tap search icon 2. Type keyword 3. Press Enter or submit",Mobile search panel opens; search results page loads with product cards.,Keyword from testData,tests/smoke/search.spec.ts,—
SR-013,Security,all,all,High,Y,Search input does not execute injected script (XSS safety),Search input accessible,"1. Enter a script tag as search keyword (e.g. <script>alert(1)</script>) 2. Submit",Script is not executed; page remains stable; result or no-result state shown safely.,—,tests/smoke/search.spec.ts,Verifies safe output encoding; not a penetration test
SR-014,Autocomplete,all,all,High,Y,Clicking a category suggestion in autocomplete navigates to the correct PLP,Category suggestions enabled; category matching keyword exists,"1. Type keyword matching a category (e.g. 'sneakers') 2. Click a category suggestion",URL changes to a PLP/category path; PLP loads with relevant products.,Keyword from testData,tests/smoke/search.spec.ts,—
SR-015,Search Results,all,all,Medium,Y,Search result page URL contains the searched keyword as a query parameter,Search result page loaded,1. Search keyword 2. Inspect URL,URL contains ?q= or similar param with the searched keyword encoded.,Keyword from testData,tests/smoke/search.spec.ts,—
SR-016,Search Results,all,all,Medium,Y,Searched keyword or result heading is displayed on the results page,Search result page loaded,"1. Search keyword 2. Inspect page heading or result title area",Heading or title area shows the searched term or result count text.,Keyword from testData,tests/smoke/search.spec.ts,—
SR-017,Pagination,all,all,Medium,Y,Load More / next page loads additional search results without duplicates,Search result has more products than first page,"1. Search broad keyword 2. Click Load More or next page",Additional product cards appear; no duplicates; count increases.,Broad keyword from testData,tests/smoke/search.spec.ts,—
SR-018,Autocomplete,all,all,Medium,Y,Autocomplete panel closes after selecting a suggestion,Autocomplete suggestion panel visible,"1. Type keyword 2. Click any suggestion",Suggestion panel is no longer visible; user navigated to result or PDP.,Keyword from testData,tests/smoke/search.spec.ts,—
SR-019,Security,all,all,Medium,Y,Empty search submission does not crash the page or navigate unexpectedly,Search input open and empty,1. Clear search input 2. Submit (press Enter or click search button),"Page remains stable; user stays on current page or default search behavior follows design.",—,tests/smoke/search.spec.ts,—
SR-020,Analytics,all,all,Low,Partial,Search submission fires a dataLayer search event,Analytics tools available,"1. Intercept dataLayer.push 2. Submit search keyword 3. Read captured events",At least one event matching /search|search_submitted/i captured.,Keyword from testData,tests/smoke/search.spec.ts,Partial — event fires verified; payload schema not validated
SR-skx-001,Search Results,skx,all,Critical,Y,Skechers search result product cards render after JS hydration (SPA),Skechers project; search accessible,"1. Search valid keyword on Skechers site 2. Wait for product cards to render (poll on card selector)",At least one product card visible after hydration; not stuck in loading state; no timeout.,Keyword from testData,tests/smoke/search.spec.ts,Skechers is a pure SPA — search result cards NOT available at domcontentloaded; requires waitForFunction polling same as PL-skx-001
