ID,Component,Brand Scope,Region Scope,Priority,Automatable,Description,Preconditions,Steps,Expected Result,Test Data,Linked Spec File,Notes
ST-001,Page Load,"drm,skx,van",all,Critical,Y,Store Locator page loads without error,Store Locator URL accessible for the brand,"1. Navigate to store locator URL (brand-specific path)",Page heading visible; search input visible; no broken layout.,Store URL: drm=/stores/ skx=/store-locator van=/stores,tests/smoke/store.spec.ts,Platypus has no store locator — validated in ST-pla-001
ST-002,Search,"drm,skx,van",AU,Critical,Y,Searching by AU suburb returns nearby store results,AU site; store data available,"1. Open store locator 2. Enter 'Melbourne' 3. Submit search",At least one store result card appears in the list.,Suburb: 'Melbourne',tests/smoke/store.spec.ts,—
ST-003,Search,"drm,skx,van",AU,Critical,Y,Searching by AU postcode returns nearby store results,AU site; store data available,"1. Open store locator 2. Enter '3000' 3. Submit search",At least one store result card appears in the list.,Postcode: '3000',tests/smoke/store.spec.ts,—
ST-004,Search,"drm,skx,van",NZ,Critical,Y,Searching by NZ suburb/postcode returns nearby store results,NZ site; store data available,"1. Open store locator 2. Enter 'Auckland' or '1010' 3. Submit search",At least one store result card appears in the list.,"Suburb: 'Auckland'; Postcode: '1010'",tests/smoke/store.spec.ts,—
ST-005,Store Details,"drm,skx,van",all,High,Y,Store result card shows name + address + trading hours,Store search performed with results,"1. Search valid location 2. Inspect first store card",Store name + full address + trading hours all visible and non-empty.,—,tests/smoke/store.spec.ts,—
ST-006,Map,"drm,skx,van",all,High,Y,Google Maps visible and store pins displayed after search,Store search returned results,"1. Open store locator 2. Search valid location 3. Observe map",Map renders; at least one pin visible on the map.,—,tests/smoke/store.spec.ts,Map loads Google Maps API — failures here indicate a Maps key/network issue
ST-007,Search,"drm,skx,van",all,High,Y,No-result state shown for an unsupported or non-existent location,Store Locator loaded,"1. Enter a nonsense location (e.g. 'xyznotaplace') 2. Submit",No-result message shown; no store cards; page does not break.,—,tests/smoke/store.spec.ts,—
ST-008,Store Details,"drm,skx,van",all,High,Y,Get Directions link is present in store result and opens a map/navigation target,Store search returned results; Google Maps link expected,"1. Search valid location 2. Inspect first store result for Get Directions link",Get Directions link visible; href contains maps.google.com or similar map service URL.,—,tests/smoke/store.spec.ts,Do NOT auto-click — verify href is present to avoid triggering external navigation
ST-009,Entry Point,"drm,skx,van",all,High,Y,Store Locator entry point visible in site footer or navigation,Any page loaded,"1. Open any page 2. Look in footer and/or navigation for Store Locator link",Store Locator link visible.,—,tests/smoke/store.spec.ts,—
ST-010,Search,"drm,skx,van",all,Medium,Y,Search input field is visible on Store Locator page load,Store Locator page loaded,1. Open store locator 2. Inspect page before any search,Search input and submit button visible.,—,tests/smoke/store.spec.ts,—
ST-011,Geolocation,"drm,skx,van",all,Medium,Y,'Use Current Location' button is visible on Store Locator,Store Locator page loaded,"1. Open store locator 2. Inspect geolocation control",Use Current Location button (or similar) is visible.,—,tests/smoke/store.spec.ts,—
ST-012,Geolocation,"drm,skx,van",all,Medium,Y,Denying geolocation permission shows a graceful fallback message,Store Locator page loaded; browser geolocation blocked,"1. Click Use Current Location 2. Deny permission in browser dialog",User-friendly message shown; manual search input remains functional.,—,tests/smoke/store.spec.ts,—
ST-013,Map,"drm,skx,van",all,Medium,Y,Clicking a map pin shows store info popup or highlights the store in the list,Store search returned results; map visible with pins,"1. Search valid location 2. Click a map pin",Store info popup or tooltip opens on the map OR corresponding store in list is highlighted.,—,tests/smoke/store.spec.ts,—
ST-pla-001,Entry Point,pla,all,High,Y,Platypus site does NOT have a store locator page,Platypus project,"1. Open Platypus site 2. Inspect footer and navigation for store locator link 3. Attempt to navigate to /stores or /store-locator",No store locator link present in nav/footer; /stores or /store-locator URL returns 404 or redirects.,—,tests/smoke/store.spec.ts,Platypus has no physical stores — store locator is absent per site-structure.md
